freq,psd_x,psd_y,psd_z,psd_xyz
187.9,2.203e+05,4.175e+04,4.648e+04,3.085e+05
189.1,2.069e+05,4.206e+04,4.242e+04,2.914e+05
190.4,2.437e+05,4.840e+04,5.601e+04,3.481e+05
191.7,4.296e+05,4.490e+04,4.170e+04,5.162e+05
193.0,5.167e+05,5.251e+04,5.146e+04,6.207e+05
194.3,5.849e+05,5.575e+04,5.380e+04,6.945e+05
195.5,5.609e+05,5.375e+04,4.174e+04,6.564e+05
196.8,6.689e+05,6.002e+04,3.822e+04,7.671e+05
198.1,5.703e+05,7.381e+04,3.874e+04,6.828e+05
199.4,4.155e+05,7.737e+04,3.740e+04,5.303e+05
